鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
伸港鄉,房地(土地+建物),彰化縣伸港鄉什股三街８９巷１號,106.86,住,,,1101119,土地2建物1車位0,全,3,透天厝,住宅、停車空間、梯間,鋼筋混凝土造,1040601,151.34,4,3,3,有,無,有,16000,106,,0.0,0,,RPWNMLPKKIGGFBN09CC
員林市,建物,彰化縣員林市大同路一段１號,0.0,住,,,1101213,土地0建物0車位0,三層,4,套房(1房1廳1衛),人行道、停車空間、住宅、店舖、樓梯間,鋼筋混凝土造,1010518,26.0,1,0,1,有,無,有,6500,250,,0.0,0,,RPSOMLRKKIGGFDN66DC
彰化市,建物,彰化縣彰化市大智路１１之４號,0.0,住,,,1101218,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701015,67.59,3,2,2,有,無,有,8500,126,,0.0,0,,RPPOMLOLKIGGFAN38CC
彰化市,房地(土地+建物),彰化縣彰化市金馬路二段２３號二樓,13.32,住,,,1110101,土地1建物1車位0,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840704,110.33,3,2,2,有,無,無,11000,100,,0.0,0,,RPSNMLNJJHHGFAN18CC
彰化市,房地(土地+建物),彰化縣彰化市長興街５４-３號,77.0,住,,,1110101,土地1建物1車位0,全,4,透天厝,騎樓、店舖、住宅,鋼筋混凝土造,1011005,159.98,5,3,6,有,無,無,35000,219,,0.0,0,,RPWNMLNJJHHGFAN58CC
彰化市,房地(土地+建物),彰化縣彰化市民族路１３５號,89.0,住,,,1110101,土地2建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0690212,219.2,6,2,2,有,無,無,31000,141,,0.0,0,含增建或未登記建物。；,RPXNMLNJJHHGFAN68CC
彰化市,房地(土地+建物),彰化縣彰化市忠勢巷８之１號,92.8,商,,,1110101,土地3建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0650816,68.04,3,4,2,有,無,無,10000,147,,0.0,0,含增建或未登記建物。；,RPOOMLNJJHHGFAN87CC
彰化市,土地,平和段91-3地號,246.0,住,,,1110101,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,23000,93,,0.0,0,含增建或未登記建物。；有未保存登記建物，稅籍編號:01710330001，加強磚造，二層樓透天厝,RPVOMLNJJHHGFAN58CC
員林市,房地(土地+建物)+車位,彰化縣員林市合作街３７號４樓,19.0,住,,,1110104,土地1建物1車位1,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820107,112.12,2,2,3,有,有,有,15000,134,坡道平面,0.0,0,,RPUOMLOJJHHGFDN88CC
