編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWNMLPKKIGGFBN09CC,6,151.34,住宅、停車空間、梯間,鋼筋混凝土造,104年6月1日,三層,
RPPOMLOLKIGGFAN38CC,40,67.59,住家用,鋼筋混凝土造,70年10月15日,五層,
RPSOMLRKKIGGFDN66DC,10,26.00,人行道、停車空間、住宅、店舖、樓梯間,鋼筋混凝土造,101年5月18日,四層,
RPWNMLNJJHHGFAN58CC,9,159.98,騎樓、店舖、住宅,鋼筋混凝土造,101年10月5日,四層,
RPSNMLNJJHHGFAN18CC,26,110.33,住家用,鋼筋混凝土造,84年7月4日,十二層,
RPXNMLNJJHHGFAN68CC,42,219.20,住商用,鋼筋混凝土造,69年2月12日,四層,
RPOOMLNJJHHGFAN87CC,45,68.04,住家用,鋼筋混凝土加強磚造,65年8月16日,二層,
RPQNMLQJJHHGFCN48CC,2,1769.34,廠房、發電機消防室,鋼骨造,108年8月7日,二層,
RPQNMLQJJHHGFCN48CC,2,194.74,廠房附屬辦公室、台電配電室、樓梯間,鋼骨造,108年8月7日,二層,
RPUOMLOJJHHGFDN88CC,29,112.12,住家用,鋼筋混凝土造,82年1月7日,七層,
RPPNMLSJJHHGFDN68CC,31,242.13,住工用,鋼筋混凝土造,80年3月2日,五層,
RPTNMLLKJHHGFAN18CC,35,264.50,住商用,鋼筋混凝土造,76年2月17日,四層,
RPSNMLMKJHHGFAN18CC,27,282.32,商埸、梯間,鋼筋混凝土造,83年11月21日,十二層,
RPRNMLSKJHHGFAN68CC,16,170.25,住宅、停車空間,鋼筋混凝土造,94年11月1日,四層,
RPSOMLOKJHHGFDN78CC,64,91.39,住商用,磚造,47年1月1日,二層,
RPOOMLTKJHHGFAN58CC,32,45.00,店舖、住家、避難室,鋼筋混凝土造,79年2月14日,五層,
RPRNMLQLJHHGFAN58CC,32,30.00,店舖、住家、避難室,鋼筋混凝土造,79年2月14日,五層,
RPVNMLOLJHHGFDN09CC,27,96.48,住家用,鋼筋混凝土造,83年11月4日,五層,
RPPNMLKLJHHGFCN97CC,6,1924.00,廠房,鋼骨鋼筋混凝土造,105年4月18日,一層,
RPRNMLSJKHHGFCN88CC,2,1558.48,廠房,鋼骨造、鋼筋混凝土造,109年5月22日,一層,
RPRNMLSJKHHGFCN88CC,2,35.75,台電配電室、發電機消防幫浦室,鋼骨造、鋼筋混凝土造,109年5月22日,一層,
RPOOMLRJKHHGFAN38CC,29,75.94,住家用,鋼筋混凝土造,82年4月30日,八層,
RPOOMLRJKHHGFAN38CC,29,68.31,避難室、停車場、梯間,鋼筋混凝土造,82年4月30日,八層,
RPOOMLRJKHHGFAN38CC,29,78.92,住家用,鋼筋混凝土造,82年4月30日,八層,
RPUNMLQLJHHGFAN88CC,32,45.00,店舖、住家、避難室,鋼筋混凝土造,79年2月14日,五層,
RPUNMLRLJHHGFBN09CC,39,194.71,工業用,鋼筋混凝土造,72年1月11日,一層,
RPPNMLRLJHHGFCN68CC,6,1190.00,工廠、機房、樓梯間,鋼骨造、鋼筋混凝土造,105年4月22日,二層,
RPPOMLOKKHHGFDN58CC,39,39.25,住家用,磚造,72年2月2日,一層,
RPWNMLPKKHHGFAN98CC,16,18.00,補習班,鋼筋混凝土造,95年1月23日,四層,
RPUOMLPKKHHGFDN56CC,32,372.81,住商用,鋼筋混凝土造,79年6月12日,五層,
RPTOMLPKKHHGFAN78CC,34,83.13,住家用,鋼筋混凝土造,77年8月6日,五層,
RPTOMLPKKHHGFAN78CC,34,10.61,避難室、樓梯,鋼筋混凝土造,77年8月6日,五層,
RPWNMLQKKHHGFAN09CC,48,74.70,住家用,鋼筋混凝土加強磚造,63年4月13日,二層,
