編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPRMLNKKIGGFAO58CC,崙子段,84.00,都市：住,,,,20220000
RPPRMLNKKIGGFAO58CC,崙子段,71.00,都市：住,,,,20230000
RPQOMLNKKIGGFAO58EC,長春段,.00,都市：住,,,,14490000
RPUQMLOKKIGGFAO09CC,東橋段,16.79,都市：住,,,,05880000
RPUOMLOKKIGGFAO88CC,光武段,54.54,都市：其他:第二種商業區,,,,10220000
RPTPMLPKKIGGFAO98CC,金山段,.00,都市：住,,,,10250000
RPTOMLOKKIGGFAO78CC,榮光段一小段,.00,都市：商,,,,00120000
RPWPMLPKKIGGFAO66CC,北門段,.00,都市：商,,,,07630000
RPWRMLPKKIGGFAO86CC,中山段三小段,.00,都市：商,,,,03470000
RPWPMLPKKIGGFAO66CC,北門段,.00,都市：住,,,,07640000
RPVPMLPKKIGGFAO56CC,北門段,.00,都市：商,,,,10820000
RPTQMLQKKIGGFAO56CC,南華段,.00,都市：商,,,,04440000
RPRQMLRKKIGGFAO09CC,南華段,.00,都市：商,,,,03690000
RPUQMLQKKIGGFAO66CC,南華段,.00,都市：商,,,,04440000
RPVPMLKLKIGGFAO78CC,民富段,.00,都市：住,,,,14460000
RPVPMLKLKIGGFAO78CC,民富段,.00,都市：住,,,,14470000
RPVOMLQKKIGGFAO56CC,民主段,.00,都市：住,,,,15380000
RPVPMLKLKIGGFAO78CC,民富段,.00,都市：住,,,,14480002
RPQOMLMLKIGGFAO38CC,聚吉段,.00,都市：住,,,,00880000
RPROMLMLKIGGFAO48CC,聚吉段,.00,都市：住,,,,00880000
RPTOMLMLKIGGFAO68CC,育賢段,.00,都市：住,,,,03670000
RPTOMLMLKIGGFAO68CC,育賢段,.00,都市：住,,,,03760000
RPRRMLMLKIGGFAO78CC,中隘段,.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,02990000
RPROMLOLKIGGFAO68CC,科園段科園小段,.00,都市：住,,,,00920554
RPSRMLMLKIGGFAO88CC,南華段,.00,都市：商,,,,04050000
RPSOMLRKKIGGFAO98CC,國道段,.00,都市：住,,,,11170000
RPOOMLRLKIGGFAO68CC,虎山段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,07950000
RPQUMLTLKIGGFAO07CC,師院段,.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,03580076
RPVUMLTLKIGGFAO57CC,虎山段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,01200000
RPOVMLTLKIGGFAO96CC,仙宮段,.00,都市：住,,,,01150000
RPOVMLTLKIGGFAO96CC,仙宮段,.00,都市：住,,,,01150001
RPVOMLMLKIGGFAO88CC,新興段一小段,.00,都市：住,,,,00520000
RPTWMLTLKIGGFAO57CC,東明段,.00,都市：商,,,,05900000
RPSWMLTLKIGGFAO47CC,崙子段,.00,都市：住,,,,07290000
RPRRMLOLKIGGFAO98CC,北門段,.00,都市：商,,,,07630000
RPVWMLTLKIGGFAO77CC,光武段,.00,都市：住,,,,06030000
RPXQMLKMKIGGFAO56CC,光復段,.00,都市：住,,,,14380000
RPSQMLNJJHHGFAO58CC,北門段,.00,都市：商,,,,07630000
RPRQMLKMKIGGFAO58CC,曲溪段,.00,都市：住,,,,02340000
RPRQMLKMKIGGFAO58CC,曲溪段,.00,都市：住,,,,03020000
RPSQMLNJJHHGFAO58CC,北門段,.00,都市：住,,,,07640000
RPORMLKMKIGGFAO38CC,崙子段,.00,都市：住,,,,01900000
RPVOMLOJJHHGFAO78CC,長春段,.00,都市：其他:科專(T2),,,,13410018
RPUWMLTLKIGGFAO67CC,南華段,.00,都市：商,,,,04440000
RPWOMLPJJHHGFAO98CC,竹蓮段,.00,都市：其他:第二種住宅區、第二種商業區,,,,15850000
