鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
古坑鄉,房地(土地+建物),雲林縣古坑鄉崁腳村崁腳路,30.54,,特定專用區,甲種建築用地,1101114,土地1建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,110.52,2,2,2,有,無,3680000,33297,,0.0,0,,RPPNMLNKKIGGFAP18CB,鉅成 蓮珠緣,B2棟4F號
古坑鄉,房地(土地+建物),雲林縣古坑鄉崁腳村崁腳路,30.54,,特定專用區,甲種建築用地,1101114,土地1建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,112.37,2,2,2,有,無,3780000,33639,,0.0,0,,RPRNMLNKKIGGFAP38CB,鉅成 蓮珠緣,E1棟3F號
古坑鄉,房地(土地+建物),雲林縣古坑鄉崁腳村崁腳路,15.27,,特定專用區,甲種建築用地,1101114,土地1建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,55.0,1,1,1,有,無,2180000,39636,,0.0,0,,RPSNMLNKKIGGFAP48CB,鉅成 蓮珠緣,F2棟4F號
古坑鄉,房地(土地+建物),雲林縣古坑鄉崁腳村崁腳路,30.54,,特定專用區,甲種建築用地,1101116,土地1建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,110.52,2,2,2,有,無,3780000,34202,,0.0,0,,RPTNMLNKKIGGFAP58CB,鉅成 蓮珠緣,A1棟5F號
古坑鄉,房地(土地+建物),雲林縣古坑鄉崁腳村崁腳路,30.54,,特定專用區,甲種建築用地,1101128,土地1建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,110.52,2,2,2,有,無,3880000,35107,,0.0,0,,RPUNMLNKKIGGFAP68CB,鉅成 蓮珠緣,A1棟7F號
古坑鄉,房地(土地+建物),雲林縣古坑鄉崁腳村崁腳路,30.54,,特定專用區,甲種建築用地,1101128,土地1建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,110.52,2,2,2,有,無,3880000,35107,,0.0,0,,RPVNMLNKKIGGFAP78CB,鉅成 蓮珠緣,A2棟7F號
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮光明路179巷12號2樓之6,18.75,住,,,1101114,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,55.38,1,1,1,有,無,3380000,61033,,0.0,0,,RPQNMLNKKIGGFDP58CB,希苑四季,C棟3號
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮光明路179巷12號4樓之7,18.75,住,,,1101108,土地1建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,55.38,1,1,1,有,無,3580000,64644,,0.0,0,,RPRNMLNKKIGGFDP68CB,希苑四季,C棟2號
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮廉使里19鄰永興南九路11之8號,78.95,住,,,1101113,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,148.06,2,2,3,有,無,7300000,49304,,0.0,0,,RPTNMLNKKIGGFDP88CB,禾楓大學五期,B棟7號
西螺鎮,房地(土地+建物),雲林縣西螺鎮振興,176.0,住,,,1100718,土地6建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,275.18,5,2,5,有,無,17500000,63595,,0.0,0,,RPPNMLNKKIGGFCP38CB,大砌,B棟2號
西螺鎮,房地(土地+建物),雲林縣西螺鎮安定,108.57,住,,,1101211,土地6建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,158.3,4,2,4,有,無,7300000,46115,,0.0,0,,RPQNMLNKKIGGFCP48CB,埔心荷雅,C棟17號
東勢鄉,房地(土地+建物),雲林縣東勢鄉東北段197-20號,105.25,住,,,1101205,土地2建物1車位0,全,3,透天厝,見使用執照,鋼筋混凝土造,,178.76,5,2,4,有,無,6500000,36362,,0.0,0,,RPPNMLNKKIGGFFP68CB,太璟建設第二期,BB3棟0197-20號
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮穎川里11鄰頂南196-3號,85.78,,鄉村區,乙種建築用地,1101020,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,154.19,4,2,3,有,無,8880000,57591,,0.0,0,,RPQNMLNKKIGGFDP68DB,弘鋆福家,A棟2號
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮穎川里11鄰頂南196-1號,94.46,,鄉村區,乙種建築用地,1100925,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,154.41,4,2,3,有,無,9100000,58934,,0.0,0,,RPRNMLNKKIGGFDP78DB,弘鋆福家,A棟5號
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮穎川里11鄰頂南196-7號,93.39,,鄉村區,乙種建築用地,1101104,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,153.62,4,2,3,有,無,8990000,58521,,0.0,0,,RPSNMLNKKIGGFDP88DB,弘鋆福家,B棟3號
東勢鄉,房地(土地+建物),雲林縣東勢鄉東北段197-21，197-22,103.25,住,,,1101205,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,178.76,5,2,4,有,無,6500000,36362,,0.0,0,,RPQNMLOKKIGGFFP88CB,太璟建設第二期,B5棟197-21,22號
東勢鄉,房地(土地+建物),雲林縣東勢鄉東北段197-1，197-2，197-3,177.4,住,,,1101205,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,172.95,5,2,4,有,無,8600000,49725,,0.0,0,,RPRNMLOKKIGGFFP98CB,太璟建設第二期,A1棟197-1,2,3號
東勢鄉,房地(土地+建物),雲林縣東勢鄉東北段197-8，197-9，197-10,100.47,住,,,1101204,土地4建物1車位0,全,3,透天厝,見使用執照,鋼筋混凝土造,,172.95,5,2,4,有,無,6500000,37583,,0.0,0,,RPSNMLOKKIGGFFP09CB,太璟建設第二期,AA3棟197-8,9,10號
東勢鄉,房地(土地+建物),雲林縣東勢鄉東北段197-23，197-24,108.25,住,,,1101205,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,178.76,5,2,4,有,無,6000000,33565,,0.0,0,,RPTNMLOKKIGGFFP56CB,太璟建設第二期,B6棟197-23,24號
斗六市,房地(土地+建物)+車位,雲林縣斗六市豐興路,34.96,,鄉村區,乙種建築用地,1101211,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,119.66,2,2,2,有,無,6530000,57055,一樓平面,19.23,800000,,RPPNMLOKKIGGFAP38DB,?井澤,D棟2號
斗六市,房地(土地+建物)+車位,雲林縣斗六市豐興路,34.96,,鄉村區,乙種建築用地,1101115,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,119.66,2,2,2,有,無,6500000,56756,一樓平面,19.23,800000,,RPQNMLOKKIGGFAP48DB,?井澤,D棟2號
斗六市,房地(土地+建物)+車位,雲林縣斗六市豐興路,32.57,,鄉村區,乙種建築用地,1101214,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,113.48,3,2,2,有,無,6250000,57825,一樓平面,19.23,800000,,RPRNMLOKKIGGFAP58DB,?井澤,B棟3號
斗南鎮,房地(土地+建物),雲林縣斗南鎮建國三路,81.46,住,,,1101211,土地2建物1車位0,全,3,店面(店鋪),住商用,鋼筋混凝土造,,196.87,4,2,4,有,無,12000000,60954,,0.0,0,,RPPNMLOKKIGGFBP48DB,微風city,C棟2號
斗南鎮,房地(土地+建物),雲林縣斗南鎮建國三路,86.54,住,,,1101212,土地2建物1車位0,全,3,店面(店鋪),住商用,鋼筋混凝土造,,205.87,4,2,4,有,無,12900000,62661,,0.0,0,,RPQNMLOKKIGGFBP58DB,微風city,C棟5號
