編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLOKKIGGFAP38DB,一樓平面,800000,19.23,一樓
RPQNMLOKKIGGFAP48DB,一樓平面,800000,19.23,一樓
RPPNMLOKKIGGFAP28CB,一樓平面,700000,17.26,一樓
RPRNMLOKKIGGFAP58DB,一樓平面,800000,19.23,一樓
RPQNMLOKKIGGFAP38CB,坡道平面,600000,23.51,地下一樓
RPSNMLOKKIGGFAP58CB,一樓平面,700000,17.26,一樓
RPPNMLOKKIGGFDP58CB,坡道機械,400000,9.91,地下一樓
RPUNMLOKKIGGFAP78CB,一樓平面,700000,17.10,一樓
RPWNMLOKKIGGFAP98CB,一樓平面,700000,17.10,一樓
RPOOMLOKKIGGFAP28CB,一樓平面,700000,17.10,一樓
RPVNMLOKKIGGFAP88CB,一樓平面,700000,17.10,一樓
RPQOMLOKKIGGFAP48CB,坡道平面,600000,23.51,地下一樓
RPPNMLQKKIGGFDP78CB,一樓平面,850000,12.99,一樓
RPQNMLQKKIGGFDP88CB,一樓平面,850000,12.99,一樓
RPRNMLQKKIGGFDP98CB,一樓平面,850000,12.99,一樓
RPPNMLRKKIGGFBP68CB,坡道機械,620000,13.22,地下一樓
RPQNMLRKKIGGFBP78CB,坡道機械,580000,13.22,地下一樓
RPSNMLRKKIGGFBP98CB,坡道機械,680000,13.22,地下一樓
RPRNMLRKKIGGFBP88CB,坡道機械,550000,13.22,地下一樓
RPPNMLTKKIGGFAP88DB,坡道平面,1200000,22.81,地下二樓
RPTNMLRKKIGGFBP09CB,坡道機械,650000,13.22,地下一樓
RPPNMLKLKIGGFAP08DB,坡道平面,1200000,22.81,地下二樓
RPPNMLKLKIGGFAP08DB,坡道平面,1200000,22.81,地下二樓
RPUNMLKLKIGGFAP48CB,坡道機械,500000,9.58,地下一樓
RPUNMLMLKIGGFAP78DB,一樓平面,0,,一樓
RPVNMLMLKIGGFAP88DB,一樓平面,0,,一樓
RPWNMLMLKIGGFAP98DB,一樓平面,0,,一樓
RPXNMLMLKIGGFAP09DB,一樓平面,0,,一樓
RPOOMLMLKIGGFAP28DB,一樓平面,0,,一樓
