鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
屏東市,房地(土地+建物),屏東縣屏東市公裕街３５３巷３５弄５號,65.0,住,,,1101213,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0700514,76.8,3,2,2,有,無,有,12000,156,,0.0,0,,RPVNMLPKKIGGFAT86CC
內埔鄉,建物,屏東縣內埔鄉壽比路２３２號３樓之５,8.9,,鄉村區,乙種建築用地,1101124,土地0建物0車位0,三層,7,套房(1房1廳1衛),集合住宅,鋼筋混凝土構造,1051104,30.29,1,0,1,有,有,有,5400,178,,0.0,0,,RPTOMLQKKIGGFCT07CC
內埔鄉,建物,屏東縣內埔鄉壽比路２３０號３樓之３,8.77,,鄉村區,乙種建築用地,1101122,土地0建物0車位0,三層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,29.86,1,0,1,有,有,有,5500,184,,0.0,0,,RPUOMLQKKIGGFCT17CC
內埔鄉,建物,屏東縣內埔鄉壽比路２３０號４樓之３,8.77,,鄉村區,乙種建築用地,1101119,土地0建物0車位0,四層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,29.86,1,0,1,有,有,有,5500,184,,0.0,0,,RPWOMLQKKIGGFCT37CC
內埔鄉,建物,屏東縣內埔鄉壽比路２２８號５樓之２,9.63,,鄉村區,乙種建築用地,1101118,土地0建物0車位0,五層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,32.63,1,0,1,有,有,有,5600,172,,0.0,0,,RPXOMLQKKIGGFCT47CC
內埔鄉,建物,屏東縣內埔鄉福泰路３-９號１樓,8.5,,鄉村區,乙種建築用地,1101117,土地0建物0車位0,一層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1031217,33.24,1,0,1,有,有,有,5000,150,,0.0,0,,RPPPMLQKKIGGFCT76CC
內埔鄉,建物,屏東縣內埔鄉福泰路３-１３號２樓,8.52,,鄉村區,乙種建築用地,1101122,土地0建物0車位0,二層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1031217,33.19,1,0,1,有,有,有,5000,151,,0.0,0,,RPRPMLQKKIGGFCT96CC
內埔鄉,建物,屏東縣內埔鄉福泰路３-６號３樓,7.36,,鄉村區,乙種建築用地,1101128,土地0建物0車位0,三層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1031217,29.52,1,0,1,有,有,有,5000,169,,0.0,0,,RPSPMLQKKIGGFCT07CC
內埔鄉,建物,屏東縣內埔鄉福泰路３-１１號４樓,8.5,,鄉村區,乙種建築用地,1101123,土地0建物0車位0,四層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1031217,33.2,1,0,1,有,有,有,5000,151,,0.0,0,,RPUPMLQKKIGGFCT27CC
屏東市,房地(土地+建物),屏東縣屏東市清進路８２８巷３號３樓,1.43,,一般農業區,甲種建築用地,1101218,土地1建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0850110,34.239999999999995,1,1,1,有,無,有,4000,117,,0.0,0,110年度屏東縣政府包租代管計畫,RPROMLLLKIGGFAT88CC
潮州鎮,房地(土地+建物),屏東縣潮州鎮延平路２６５號,141.43,商,,,1101204,土地1建物1車位0,見其他登記事項,3,店面(店鋪),住商用,鋼筋混凝土造,0701021,260.22,2,1,3,有,無,無,20000,77,,0.0,0,,RPVOMLMLKIGGFCT96CC
屏東市,房地(土地+建物),屏東縣屏東市自由路９５號３樓之５,12.02,住,,,1101223,土地1建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720906,45.980000000000004,1,1,1,有,無,有,4500,98,,0.0,0,,RPXNMLOLKIGGFAT07CC
潮州鎮,房地(土地+建物),屏東縣潮州鎮永康街２６４號,52.41,住,,,1101227,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0640113,92.0,5,2,2,有,無,有,10000,109,,0.0,0,,RPQOMLRLKIGGFCT96CC
內埔鄉,建物,屏東縣內埔鄉壽比路２３２號３樓之２,9.59,,鄉村區,乙種建築用地,1101130,土地0建物0車位0,四層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,32.59,1,0,1,有,有,有,5500,169,,0.0,0,,RPPOMLSLKIGGFCT96CC
屏東市,房地(土地+建物),屏東縣屏東市太原路１１之５號５樓之２,46.45,住,,,1101227,土地1建物1車位0,五層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1080724,161.1,3,2,3,有,有,有,13500,84,,0.0,0,,RPUOMLSLKIGGFAT27CC
屏東市,房地(土地+建物),屏東縣屏東市復興路４７２之１號１２樓之２,20.63,住,,,1101229,土地1建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851220,149.88,3,1,1,有,有,有,13500,90,,0.0,0,110年度屏東縣政府包租代管計畫,RPQOMLTLKIGGFAT96CC
屏東市,房地(土地+建物),屏東縣屏東市機場北路４５２號,22.54,住,,,1101229,土地1建物1車位0,一層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0881204,157.56,3,2,2,有,無,有,13000,83,,0.0,0,110年度屏東縣政府包租代管計畫,RPUNMLKMKIGGFAT09CC
麟洛鄉,房地(土地+建物),屏東縣麟洛鄉民族路２８５之２號,1387.13,,一般農業區,丁種建築用地,1101216,土地2建物1車位0,見其他登記事項,1,工廠,工廠,鋼骨構造,0960109,495.81,2,0,2,有,無,無,50000,,,0.0,0,,RPXOMLOJJHHGFAT86CC
東港鎮,房地(土地+建物),屏東縣東港鎮光復路３段１２８號５樓之１,5.05,住,,,1110107,土地1建物1車位0,五層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850304,53.55,1,1,1,有,無,有,5500,103,,0.0,0,110年度屏東縣政府包租代管計畫,RPROMLKKJHHGFDT88CC
屏東市,房地(土地+建物),屏東縣屏東市機場北路５１８號６樓,18.19,住,,,1110110,土地1建物1車位0,六層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0881204,126.86,3,2,2,有,有,有,12500,99,,0.0,0,110年度屏東縣政府包租代管計畫,RPPNMLLKJHHGFAT38CC
屏東市,房地(土地+建物),屏東縣屏東市民族路８５號、８５-１號,186.0,商,,,1110113,土地1建物1車位0,見其他登記事項,2,店面(店鋪),住商用,鋼筋混凝土造,0791127,269.46,0,0,0,無,無,無,110000,408,,0.0,0,,RPWNMLOKJHHGFAT76CC
潮州鎮,房地(土地+建物),屏東縣潮州鎮太平路２６號,60.39,住,,,1110115,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土加強磚造,0580924,128.04,3,2,2,有,無,無,10000,78,,0.0,0,,RPRPMLRKJHHGFCT96CC
潮州鎮,房地(土地+建物),屏東縣潮州鎮四維路１６８之２號,88.21,住,,,1110115,土地1建物1車位0,一層,3,店面(店鋪),住家用,鋼筋混凝土造,0780128,173.51,0,1,1,有,無,有,12000,69,,0.0,0,,RPSPMLRKJHHGFCT07CC
內埔鄉,建物,屏東縣內埔鄉福泰路３-１２號２樓,33.8,,鄉村區,乙種建築用地,1110115,土地0建物0車位0,二層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1031217,33.8,1,0,1,有,無,有,5000,148,,0.0,0,,RPVNMLTKJHHGFCT37CC
內埔鄉,建物,屏東縣內埔鄉福泰路３-１１號４樓,33.2,,鄉村區,乙種建築用地,1110112,土地0建物0車位0,四層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1031217,33.2,1,0,1,有,無,有,5000,151,,0.0,0,,RPWNMLTKJHHGFCT47CC
內埔鄉,建物,屏東縣內埔鄉福泰路３-８號５樓,33.4,,鄉村區,乙種建築用地,1101227,土地0建物0車位0,五層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1031217,33.4,1,0,1,有,無,有,5000,150,,0.0,0,,RPOOMLTKJHHGFCT76CC
內埔鄉,建物,屏東縣內埔鄉福泰路３-１２號１樓,33.8,,鄉村區,乙種建築用地,1101230,土地0建物0車位0,一層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1031217,33.8,1,0,1,有,無,有,5000,148,,0.0,0,,RPPOMLTKJHHGFCT86CC
內埔鄉,建物,屏東縣內埔鄉壽比路２３２號４樓之２,32.59,,鄉村區,乙種建築用地,1101229,土地0建物0車位0,四層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,32.59,1,0,1,有,無,有,6000,184,,0.0,0,,RPQOMLTKJHHGFCT96CC
