編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUOMLQKKIGGFCT17CC,壽比段,8.77,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08840000
RPWOMLQKKIGGFCT37CC,壽比段,8.77,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08840000
RPVNMLPKKIGGFAT86CC,北勢段,65.00,都市：住,,,,05080033
RPSPMLQKKIGGFCT07CC,壽比段,7.36,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,09420000
RPXOMLQKKIGGFCT47CC,壽比段,9.63,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08840000
RPUPMLQKKIGGFCT27CC,壽比段,8.50,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,09420000
RPRPMLQKKIGGFCT96CC,壽比段,8.52,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,09420000
RPTOMLQKKIGGFCT07CC,壽比段,8.90,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08840000
RPROMLLLKIGGFAT88CC,清溪段,.00,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,01920000
RPROMLLLKIGGFAT88CC,清溪段,1.43,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,01910000
RPPPMLQKKIGGFCT76CC,壽比段,8.50,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,09420000
RPXNMLOLKIGGFAT07CC,灰?段,12.02,都市：住,,,,02110000
RPVOMLMLKIGGFCT96CC,延平段,141.43,都市：商,,,,01300000
RPQOMLRLKIGGFCT96CC,永春段,16.35,都市：住,,,,02460000
RPQOMLRLKIGGFCT96CC,永春段,36.06,都市：住,,,,02470000
RPUOMLSLKIGGFAT27CC,檳榔腳段二小段,46.45,都市：住,,,,02080000
RPQOMLTLKIGGFAT96CC,建國段,20.63,都市：住,,,,15370000
RPPOMLSLKIGGFCT96CC,壽比段,9.59,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08840000
RPROMLKKJHHGFDT88CC,福德段,5.05,都市：住,,,,05860000
RPPNMLLKJHHGFAT38CC,勝興段,18.19,都市：住,,,,00580000
RPXOMLOJJHHGFAT86CC,玄聖段,950.00,非都市：一般農業區 ; 非都市編定：丁種建築用地,,,,04080000
RPXOMLOJJHHGFAT86CC,玄聖段,437.13,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,04090002
RPUNMLKMKIGGFAT09CC,勝興段,22.54,都市：住,,,,00580000
RPRPMLRKJHHGFCT96CC,新五魁段,8.34,都市：住,,,,03290000
RPRPMLRKJHHGFCT96CC,新五魁段,52.05,都市：住,,,,03280000
RPSPMLRKJHHGFCT07CC,三共段,88.21,都市：住,,,,00110000
RPWNMLTKJHHGFCT47CC,壽比段,33.20,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,09420000
RPWNMLOKJHHGFAT76CC,新街段一小段,14.00,都市：商,,,,01440002
RPWNMLOKJHHGFAT76CC,新街段一小段,81.00,都市：商,,,,01570002
RPWNMLOKJHHGFAT76CC,新街段一小段,15.00,都市：商,,,,01440000
RPWNMLOKJHHGFAT76CC,新街段一小段,76.00,都市：商,,,,01570000
RPPOMLTKJHHGFCT86CC,壽比段,33.80,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,09420000
RPOOMLTKJHHGFCT76CC,壽比段,33.40,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,09420000
RPROMLTKJHHGFCT07CC,壽比段,30.55,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08840000
RPTOMLTKJHHGFCT27CC,壽比段,30.29,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08840000
RPSOMLTKJHHGFCT17CC,壽比段,30.02,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08840000
RPVNMLTKJHHGFCT37CC,壽比段,33.80,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,09420000
RPVOMLTKJHHGFCT47CC,壽比段,30.55,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08840000
RPXOMLTKJHHGFCT67CC,壽比段,30.90,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08840000
RPPPMLTKJHHGFCT96CC,壽比段,32.59,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08840000
RPQOMLTKJHHGFCT96CC,壽比段,32.59,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08840000
RPWOMLTKJHHGFCT57CC,壽比段,30.31,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08840000
RPOPMLTKJHHGFCT86CC,壽比段,31.81,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08840000
RPQPMLTKJHHGFCT07CC,壽比段,29.86,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08840000
RPSPMLTKJHHGFCT27CC,壽比段,32.59,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08840000
RPTPMLTKJHHGFCT37CC,壽比段,29.52,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,09420000
RPUPMLTKJHHGFCT47CC,壽比段,33.50,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,09420000
