鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
吉安鄉,房地(土地+建物),花蓮縣吉安鄉民治路,26.28,住,,,1101210,土地1建物1車位0,三層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,83.97,2,1,1,有,無,5580000,66452,,0.0,0,,RPPNMLLKKIGGFAU58DB,民治維新,1棟3D號
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉太昌路,28.05,,鄉村區,乙種建築用地,1101209,土地1建物1車位1,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,129.61,2,1,2,有,無,7330000,67126,坡道平面,33.82,900000,,RPPNMLNKKIGGFAU68CB,芳澤居,B棟6號
吉安鄉,房地(土地+建物),花蓮縣吉安鄉昌隆三街,32.23,住,,,1090913,土地1建物1車位0,四層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,116.94,2,2,2,有,無,7600000,64991,,0.0,0,,RPSNMLNKKIGGFAU98CB,欣悅敦峰,B棟01號
新城鄉,房地(土地+建物),花蓮縣新城鄉嘉里一路,83.0,住,,,1101127,土地1建物1車位0,全,3,透天厝,住家用,鋼骨混凝土造,,162.33,4,2,5,有,無,10800000,66531,,0.0,0,,RPQNMLOKKIGGFAU88CB,以樂家園7,B棟1號
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉南埔四街,27.9,住,,,1101130,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼骨混凝土造,,90.09,2,2,2,有,無,5750000,67461,一樓平面,13.75,600000,,RPRNMLOKKIGGFAU98CB,原登一期,B棟B棟5樓號
花蓮市,房地(土地+建物),花蓮縣花蓮市富國路,41.27,住,,,1101117,土地1建物1車位0,三層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,161.1,3,2,2,有,無,12500000,77592,,0.0,0,,RPPNMLPKKIGGFAU88CB,旭日天擎,B棟1號
吉安鄉,房地(土地+建物),花蓮縣吉安鄉昌隆三街,25.34,住,,,1101125,土地1建物1車位0,六層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,91.91,2,2,1,有,無,6670000,72571,,0.0,0,,RPWNMLPKKIGGFAU96CB,欣悅敦峰,C棟03號
吉安鄉,房地(土地+建物),花蓮縣吉安鄉昌隆三街,25.72,住,,,1101126,土地1建物1車位0,八層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,93.37,2,2,1,有,無,7020000,75185,,0.0,0,,RPOOMLPKKIGGFAU88CB,欣悅敦峰,C棟01號
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉中原路一段,28.0,住,,,1101120,土地2建物1車位1,三層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,128.06,2,2,2,有,無,7700000,64252,坡道平面,25.34,1100000,,RPRNMLQKKIGGFAU56CB,馥鈺,D棟3樓號
