編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLNKKIGGFAV78CB,坡道平面,980000,39.42,地下一樓
RPQNMLNKKIGGFAV88CB,坡道平面,930000,38.32,地下一樓
RPSNMLNKKIGGFAV09CB,坡道平面,880000,39.42,地下二樓
RPVNMLNKKIGGFAV76CB,坡道平面,820000,35.93,地下二樓
RPOOMLNKKIGGFAV78CB,坡道平面,980000,36.93,地下一樓
RPUNMLNKKIGGFAV66CB,坡道平面,1030000,39.42,地下一樓
RPWNMLNKKIGGFAV86CB,坡道平面,770000,35.93,地下二樓
RPRNMLKLKIGGFAV78CB,坡道平面,1080000,36.93,地下一樓
RPTNMLKLKIGGFAV98CB,坡道平面,980000,39.68,地下一樓
RPTNMLNKKIGGFAV56CB,坡道平面,980000,39.42,地下一樓
RPPNMLKLKIGGFAV58CB,坡道平面,770000,37.18,地下二樓
RPPNMLOKJHHGFAV78CB,坡道平面,880000,28.61,地下一樓
RPRNMLOKJHHGFAV98CB,坡道平面,880000,28.61,地下二樓
RPPNMLLKJHHGFAV48CB,坡道平面,0,,一樓
RPTNMLOKJHHGFAV56CB,坡道平面,830000,28.61,地下一樓
RPPNMLRKJHHGFAV09CB,坡道平面,930000,27.53,地下一樓
RPQNMLRKJHHGFAV56CB,坡道平面,830000,28.61,地下二樓
RPUNMLRKJHHGFAV96CB,坡道平面,820000,35.93,地下二樓
RPTNMLRKJHHGFAV86CB,坡道平面,820000,35.93,地下二樓
RPSNMLOKJHHGFAV09CB,坡道平面,930000,28.61,地下一樓
RPVNMLLJLHHGFAV56CB,坡道平面,880000,28.61,地下二樓
RPPNMLLJLHHGFAV58CB,坡道平面,880000,35.93,地下二樓
RPPNMLSJKHHGFAV56CB,坡道平面,830000,28.61,地下一樓
RPPOMLLJLHHGFAV68CB,坡道平面,880000,28.61,地下二樓
RPQNMLLJLHHGFAV68CB,坡道平面,920000,35.93,地下一樓
RPWNMLLJLHHGFAV66CB,坡道平面,880000,28.61,地下二樓
