編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLTLKIGGFAW07DB,城西段,29.96,都市：住,10000,417,持分移轉,06390000
RPPNMLSKKHHGFAW76CB,長寮段,36.88,都市：住,10000,385,持分移轉,00900002
RPQNMLSKKHHGFAW86CB,長寮段,40.04,都市：住,10000,418,持分移轉,00900002
RPQNMLTLKIGGFAW17DB,城西段,29.96,都市：住,10000,417,持分移轉,06390000
RPRNMLSKKHHGFAW96CB,長寮段,37.74,都市：住,10000,394,持分移轉,00900002
RPPNMLMLKHHGFAW88CB,羅劃測段,55.59,都市：住,100000,5565,持分移轉,02000000
RPPNMLMLKHHGFAW88CB,羅劃測段,50.78,都市：住,100000,5565,持分移轉,02010000
RPPNMLMJLHHGFAW88DB,城西段,29.89,都市：住,10000,416,持分移轉,06390000
RPPNMLMJLHHGFAW78CB,羅劃測段,55.59,都市：住,100000,5565,持分移轉,02000000
RPPNMLMJLHHGFAW78CB,羅劃測段,50.78,都市：住,100000,5565,持分移轉,02010000
RPRNMLMJLHHGFAW98CB,羅劃測段,54.19,都市：住,100000,5424,持分移轉,02000000
RPRNMLMJLHHGFAW98CB,羅劃測段,49.49,都市：住,100000,5424,持分移轉,02010000
RPQNMLMJLHHGFAW88CB,羅劃測段,57.85,都市：住,100000,5791,持分移轉,02000000
RPQNMLMJLHHGFAW88CB,羅劃測段,52.84,都市：住,100000,5791,持分移轉,02010000
RPRNMLMJLHHGFAW09DB,城西段,29.96,都市：住,10000,417,持分移轉,06390000
