編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLMLKIGGFAZ56DA,塘岐段,.80,非都市： ; 非都市編定：,1,1,全筆移轉,09200027
RPPNMLKKKIGGFAZ88DA,福正段,175.86,非都市： ; 非都市編定：,1,1,全筆移轉,08750000
RPPNMLMLKIGGFAZ56DA,塘岐段,41.10,非都市： ; 非都市編定：,1,1,全筆移轉,09550003
RPPNMLPKJHHGFAZ66DA,白沙段,99.16,非都市： ; 非都市編定：,1,1,全筆移轉,00370000
RPQNMLMLKIGGFAZ66DA,介壽段,236.44,非都市： ; 非都市編定：,1,1,全筆移轉,09740000
RPPNMLSLKIGGFAZ17DA,介壽段,35.01,非都市： ; 非都市編定：,1,1,全筆移轉,16140000
RPPNMLLKJHHGFAZ88DA,塘岐段,82.45,非都市： ; 非都市編定：,1,1,全筆移轉,06830000
RPPNMLKLJHHGFAZ88DA,塘岐段,187.10,非都市： ; 非都市編定：,1,1,全筆移轉,01880002
RPPNMLKLJHHGFAZ88DA,塘岐段,36.78,非都市： ; 非都市編定：,1,1,全筆移轉,02360002
RPPNMLKLJHHGFAZ88DA,塘岐段,6.51,非都市： ; 非都市編定：,1,1,全筆移轉,02360003
RPPNMLKLJHHGFAZ88DA,塘岐段,41.32,非都市： ; 非都市編定：,1,1,全筆移轉,02740007
RPPNMLOJJHHGFAZ09DA,白沙段,89.89,非都市： ; 非都市編定：,1,1,全筆移轉,00680000
RPPNMLOJJHHGFAZ09DA,白沙段,2.18,非都市： ; 非都市編定：,1,1,全筆移轉,00680001
RPPNMLOJJHHGFAZ09DA,白沙段,113.15,非都市： ; 非都市編定：,1,1,全筆移轉,00690000
RPPNMLOJJHHGFAZ09DA,白沙段,16.29,非都市： ; 非都市編定：,1,1,全筆移轉,00690001
RPPNMLNJKIGGFAZ09DA,四維段,965.83,非都市： ; 非都市編定：,1,1,全筆移轉,10430009
RPPNMLNLKIGGFAZ66DA,橋仔段,152.03,非都市： ; 非都市編定：,1,1,全筆移轉,02100001
RPPNMLTJKHHGFAZ07DA,后沃段,40.51,非都市： ; 非都市編定：,1,1,全筆移轉,01420000
RPPNMLLLKIGGFAZ09DA,津沙段,4.50,非都市： ; 非都市編定：,6,1,持分移轉,04930000
